Sex,MaritalStatus,Age,Education,Occupation,YearsInSf,DualIncome,HouseholdMembers,UnderEighteen,HouseholdStatus,TypeOfHome,EthnicClass,Language,Income
two,five,two,three,six,four,one,three,one,three,one,seven,one,one
one,five,two,three,three,three,one,two,zero,two,three,seven,one,four
two,five,one,two,six,five,one,three,zero,three,three,seven,one,one
one,three,four,three,two,five,one,one,zero,two,three,seven,one,six
two,one,three,four,four,two,two,two,zero,two,three,seven,one,four
one,two,three,three,three,two,one,two,zero,two,three,seven,one,four
two,five,four,five,four,five,one,one,zero,two,three,eight,one,three
one,one,two,three,seven,two,two,four,two,two,one,two,one,two
two,five,two,three,four,five,one,two,zero,three,three,eight,one,three
one,five,three,five,two,five,one,two,zero,two,three,seven,one,two
two,two,two,three,nine,four,one,three,zero,two,three,seven,one,three
two,one,four,four,one,five,two,two,zero,two,one,seven,one,six
one,one,five,four,two,five,two,four,two,one,one,eight,one,six
one,one,three,three,five,five,three,two,zero,two,one,one,one,five
two,five,three,four,four,four,one,two,zero,unknown,three,seven,one,four
two,five,one,two,nine,five,one,three,two,one,one,seven,one,seven
one,five,one,two,six,four,one,five,three,three,one,seven,one,one
one,one,four,five,one,five,two,three,one,one,one,seven,one,five
two,four,seven,four,eight,five,one,one,zero,two,three,seven,one,three
two,four,six,five,eight,four,one,one,zero,two,four,seven,one,five
one,one,six,three,four,three,two,three,zero,two,two,seven,one,seven
one,one,six,three,eight,four,three,two,zero,one,one,seven,one,five
one,one,six,five,three,five,three,two,zero,one,one,seven,unknown,seven
one,three,six,five,eight,five,one,two,zero,one,unknown,seven,one,eight
two,one,six,four,one,five,two,three,zero,one,unknown,seven,one,eight
one,one,six,unknown,one,five,two,two,zero,one,one,seven,unknown,eight
two,three,two,three,seven,two,one,one,zero,two,three,five,two,three
one,two,three,three,three,five,one,three,one,two,three,five,one,five
two,one,three,four,four,four,two,two,zero,two,one,three,one,three
two,three,four,three,five,five,one,five,two,one,one,unknown,unknown,five
one,two,four,unknown,one,five,two,two,zero,two,three,five,two,seven
two,five,one,two,two,four,one,six,four,three,one,five,one,one
two,one,three,six,four,two,two,two,zero,two,three,three,one,six
two,three,five,four,one,three,one,one,zero,two,three,three,one,six
two,two,two,three,four,three,two,two,zero,two,three,three,one,two
two,one,three,three,five,unknown,two,two,zero,one,one,three,one,four
one,two,two,three,three,three,one,two,zero,two,three,three,one,two
one,three,five,five,three,five,one,one,zero,one,one,three,one,six
two,five,two,three,four,five,one,three,zero,three,one,three,one,three
two,one,three,four,one,three,two,two,zero,one,one,three,one,four
two,two,two,three,four,four,two,two,zero,two,three,three,one,two
two,five,three,five,one,five,one,one,zero,two,three,three,one,six
one,five,four,five,one,five,one,one,zero,two,two,three,one,seven
one,three,five,five,three,five,one,unknown,zero,one,one,three,unknown,six
two,two,two,three,nine,unknown,one,four,zero,three,one,three,one,two
two,one,three,four,one,five,two,three,one,one,one,seven,one,eight
two,one,four,five,one,five,two,four,one,one,one,two,one,eight
one,unknown,five,six,one,two,two,two,zero,one,one,seven,one,nine
one,one,three,five,one,five,two,three,one,one,one,three,one,eight
one,five,two,three,six,five,one,five,two,three,one,seven,one,six
two,one,three,four,three,three,two,four,two,one,one,seven,one,six
two,one,three,three,five,five,three,three,one,two,one,seven,one,six
one,five,one,two,six,five,one,three,zero,three,one,seven,one,one
one,two,three,four,three,three,one,two,zero,two,three,seven,one,seven
two,five,two,three,four,five,one,three,zero,three,one,seven,one,three
one,five,one,two,six,five,one,five,three,three,one,seven,one,one
two,five,two,four,six,four,one,two,zero,two,three,seven,one,two
two,three,four,three,four,five,one,two,one,two,four,seven,one,four
one,three,four,four,one,five,one,four,two,one,one,seven,one,seven
two,three,four,three,four,five,one,two,zero,two,three,seven,one,four
one,one,three,four,two,four,two,three,one,one,one,seven,one,six
one,one,five,five,three,unknown,three,four,three,one,one,seven,one,seven
one,one,four,five,seven,four,two,four,two,two,three,seven,one,seven
one,five,three,five,two,five,one,one,zero,two,two,five,one,five
two,five,two,unknown,six,five,one,three,zero,two,three,three,one,two
one,one,five,five,three,five,three,four,two,one,one,three,one,six
one,unknown,two,three,six,five,three,three,zero,three,one,three,one,five
two,three,four,four,three,five,one,two,one,one,one,three,one,five
two,one,four,five,one,five,two,two,zero,one,one,three,one,seven
two,three,five,four,four,five,one,two,zero,two,three,three,one,five
one,five,one,two,six,five,one,five,two,three,one,three,one,one
two,three,three,three,three,four,one,one,zero,two,three,three,one,four
one,four,five,five,three,five,one,one,zero,two,three,three,one,five
one,five,two,three,six,five,one,four,one,three,one,three,one,five
two,one,three,four,five,five,three,four,two,one,one,three,unknown,six
one,one,seven,three,eight,five,three,two,zero,one,one,seven,one,three
two,four,six,five,nine,five,one,one,zero,two,three,seven,one,three
two,four,six,four,eight,five,one,two,zero,one,four,one,one,four
one,one,six,three,eight,five,three,three,zero,one,one,seven,one,seven
one,five,one,two,six,five,one,four,one,three,one,two,one,one
two,five,one,two,six,five,one,three,one,three,one,one,one,one
one,one,six,five,eight,five,three,four,one,one,one,two,one,six
two,two,two,four,six,four,one,two,zero,two,three,seven,one,one
one,five,one,two,six,five,one,four,one,three,one,two,one,one
two,two,one,three,two,five,one,four,one,three,one,seven,one,three
one,five,one,two,six,five,one,three,one,three,one,two,one,one
two,four,three,one,five,five,one,five,zero,three,four,six,two,one
one,five,one,two,six,five,one,four,one,three,one,seven,one,one
two,five,one,two,six,five,one,six,three,three,one,three,one,one
two,five,one,two,six,five,one,four,one,three,one,seven,one,one
one,three,four,six,one,five,one,three,two,one,one,seven,one,nine
one,two,three,four,three,five,one,two,zero,two,three,seven,one,eight
one,five,one,two,six,five,one,three,one,three,one,seven,one,one
one,five,two,six,two,five,one,six,four,two,one,five,one,nine
two,five,two,five,two,unknown,one,one,zero,two,three,five,one,three
one,three,five,three,three,four,one,one,zero,one,two,five,two,seven
one,two,two,three,four,five,one,two,one,two,three,three,one,four
two,two,two,three,four,five,one,two,zero,two,three,three,one,two
one,two,two,four,three,four,one,two,zero,two,three,three,one,six
one,five,one,two,six,five,one,four,one,three,one,three,unknown,one
one,one,four,two,three,five,two,six,two,one,one,three,one,four
one,five,one,two,six,five,one,four,two,three,two,four,one,one
two,four,three,five,one,four,one,three,zero,three,one,two,unknown,seven
two,two,five,four,one,four,two,two,zero,one,one,seven,one,six
one,five,one,two,six,four,one,four,two,three,unknown,seven,unknown,one
two,three,three,four,six,five,one,three,zero,three,one,seven,unknown,one
two,one,four,five,one,five,two,four,two,one,one,two,one,five
one,two,three,four,two,five,one,two,zero,two,two,seven,unknown,five
two,five,one,two,six,three,one,five,three,three,unknown,two,three,one
two,five,three,five,four,five,one,one,zero,one,two,seven,one,three
one,five,one,unknown,six,four,one,four,two,three,unknown,six,three,one
two,one,three,four,unknown,five,two,four,two,one,one,seven,one,six
two,one,four,six,five,four,two,four,two,one,one,two,unknown,six
two,one,four,four,five,four,three,four,two,one,one,seven,one,one
one,one,four,five,one,three,two,three,one,two,one,seven,unknown,eight
two,five,two,four,six,three,one,four,one,one,one,two,one,one
two,one,two,four,two,five,two,two,zero,two,three,six,one,two
one,one,five,five,two,four,two,three,one,one,two,seven,unknown,seven
two,five,one,two,six,five,one,four,two,three,two,seven,unknown,one
one,three,four,five,one,four,one,one,zero,two,two,seven,unknown,six
one,five,one,two,six,five,one,four,two,three,two,seven,unknown,one
two,one,three,four,five,four,three,three,one,two,one,two,one,one
two,five,one,two,six,five,one,four,two,three,two,four,one,one
one,one,six,two,eight,five,three,two,zero,one,one,seven,unknown,six
two,one,six,three,five,five,three,two,zero,one,one,seven,one,one
two,four,six,three,eight,five,one,five,two,three,one,three,one,two
one,five,three,four,three,four,one,four,zero,one,one,two,three,eight
one,one,three,five,one,four,three,three,one,two,one,two,unknown,eight
two,two,two,four,four,four,one,two,zero,two,three,seven,one,seven
two,two,four,four,two,four,one,four,one,one,one,three,one,four
two,five,one,two,nine,four,one,three,zero,two,one,three,one,six
one,two,two,three,nine,five,two,two,zero,two,three,unknown,one,four
two,three,five,four,one,five,one,three,zero,two,two,three,one,three
one,five,one,two,six,five,one,three,zero,three,three,seven,one,one
one,three,four,four,two,five,one,one,zero,two,three,five,two,seven
one,one,four,four,five,three,three,two,zero,one,one,seven,one,nine
one,two,two,four,seven,four,three,two,zero,two,three,three,one,six
two,five,two,four,two,five,one,one,zero,two,three,three,one,six
two,five,two,two,nine,five,one,seven,zero,two,one,seven,one,one
one,three,six,four,three,five,one,one,zero,two,three,three,one,five
two,one,three,four,two,two,two,four,two,two,three,three,one,eight
one,one,four,four,three,four,three,three,one,one,one,seven,one,seven
two,one,three,three,five,three,three,three,one,two,three,five,one,four
one,five,two,three,nine,five,one,five,one,three,one,three,one,one
one,two,three,four,one,three,one,one,zero,two,three,three,one,six
one,two,three,four,two,three,one,one,zero,two,three,three,one,seven
two,unknown,one,two,nine,four,one,two,zero,one,one,three,unknown,nine
two,unknown,one,two,nine,four,one,two,zero,one,three,seven,unknown,nine
one,one,four,five,one,five,two,two,zero,unknown,unknown,three,one,nine
one,one,four,five,one,five,two,two,zero,one,one,three,one,nine
two,three,five,four,two,three,one,one,zero,one,one,three,unknown,six
one,one,three,four,one,three,one,two,zero,two,three,five,two,seven
one,two,three,four,one,three,one,two,zero,two,three,three,one,six
two,one,three,four,nine,unknown,three,two,zero,two,three,seven,one,seven
two,five,two,three,nine,unknown,one,one,zero,three,three,seven,one,six
one,five,two,three,two,four,one,four,one,three,one,three,one,eight
one,five,one,two,six,four,one,three,one,three,one,five,one,one
two,five,two,three,nine,two,one,four,one,three,one,three,one,eight
one,five,two,three,nine,four,one,three,zero,three,three,three,unknown,five
one,five,one,two,six,two,one,three,two,three,three,one,three,one
one,five,one,two,six,unknown,one,three,two,three,one,three,one,one
two,five,one,two,six,three,one,four,three,three,three,five,two,one
two,five,one,two,six,four,one,four,two,three,one,seven,unknown,one
two,two,two,three,two,unknown,three,two,zero,two,one,three,one,six
two,three,four,three,nine,five,one,two,one,three,three,three,one,one
two,five,two,two,nine,five,one,four,one,three,one,three,one,eight
one,five,two,three,two,five,one,one,zero,two,three,three,one,two
two,five,two,two,nine,four,one,three,zero,two,three,seven,one,one
one,one,three,three,four,three,two,five,one,two,three,two,one,seven
two,one,three,three,two,unknown,two,two,zero,two,one,seven,one,six
two,two,three,four,four,unknown,two,two,zero,two,one,seven,one,eight
two,five,two,five,one,unknown,one,two,zero,three,two,seven,one,four
two,one,three,three,two,five,two,two,zero,one,one,five,one,three
two,one,two,three,five,five,three,three,one,two,one,one,one,five
one,five,two,four,six,unknown,one,five,zero,three,one,seven,one,seven
one,one,five,four,three,five,two,nine,six,one,one,one,one,three
two,two,five,four,one,unknown,one,unknown,zero,one,one,seven,one,six
two,one,four,three,five,five,three,four,two,one,one,seven,one,four
two,four,five,three,four,five,one,four,zero,three,one,seven,one,three
one,one,five,six,one,four,three,three,one,one,one,seven,one,eight
two,one,four,four,four,five,two,two,zero,one,one,five,one,seven
two,one,three,three,five,unknown,three,four,four,one,one,seven,one,six
two,one,five,three,five,five,two,three,one,one,one,seven,one,seven
one,one,five,four,one,three,two,five,three,one,one,seven,one,nine
two,two,three,three,four,four,one,unknown,zero,two,three,seven,one,one
two,one,three,three,five,five,three,five,three,one,one,seven,one,five
one,two,two,four,three,five,one,two,zero,two,three,seven,one,one
two,one,two,three,five,five,three,five,three,two,one,seven,one,four
one,five,two,four,one,three,one,three,zero,two,one,seven,one,three
two,one,three,four,two,five,two,four,two,one,one,seven,one,seven
two,one,three,four,one,unknown,two,four,two,one,one,five,one,seven
two,five,three,five,one,five,one,one,zero,two,one,seven,one,six
one,three,four,five,two,five,one,three,two,two,three,seven,one,eight
one,two,two,three,three,unknown,two,two,zero,two,one,seven,one,two
one,five,two,four,six,five,one,three,zero,two,one,seven,one,one
one,five,two,three,two,five,one,three,zero,unknown,one,seven,one,six
two,one,four,five,one,five,two,three,one,one,one,seven,one,seven
two,one,four,three,four,five,two,three,zero,one,one,seven,one,six
two,one,three,six,one,two,two,three,one,one,one,seven,one,seven
one,one,six,six,one,five,two,three,zero,one,one,one,one,nine
two,one,three,four,one,two,three,four,two,one,one,seven,one,eight
two,three,three,four,five,five,one,two,one,two,three,seven,one,two
two,one,four,five,one,five,two,four,two,one,one,seven,one,eight
two,one,five,four,eight,unknown,three,two,zero,one,four,seven,one,six
two,one,four,five,one,five,two,three,one,one,one,seven,one,five
two,one,five,four,one,five,two,three,one,one,one,three,one,nine
two,one,five,three,three,five,two,two,zero,one,one,seven,one,seven
two,one,three,four,one,two,two,two,zero,one,one,seven,one,seven
two,one,two,two,six,five,two,two,zero,two,three,seven,one,two
two,five,two,four,six,five,one,three,zero,two,one,seven,one,six
one,five,two,three,two,five,one,four,zero,three,one,seven,one,two
one,one,seven,six,eight,five,three,two,zero,two,unknown,seven,one,eight
two,five,two,four,six,unknown,one,four,zero,three,one,seven,one,six
one,one,five,four,three,five,three,three,one,one,one,seven,one,seven
two,two,four,three,one,five,one,two,zero,two,one,seven,one,six
two,one,four,three,four,five,three,three,one,one,one,seven,one,six
one,one,three,five,one,four,two,two,zero,two,three,seven,one,seven
two,one,two,four,four,five,two,two,zero,two,three,seven,one,seven
two,one,six,four,one,three,three,three,zero,one,one,seven,one,eight
two,two,four,four,one,unknown,two,two,zero,two,two,seven,one,six
two,five,two,three,two,unknown,one,four,two,two,three,five,one,five
one,one,three,three,three,five,two,four,two,two,one,seven,one,five
two,three,two,three,two,five,one,two,one,two,unknown,seven,one,three
two,five,one,one,six,three,one,four,one,three,one,seven,one,one
two,one,three,four,one,three,two,three,one,two,one,seven,one,seven
two,five,one,two,six,one,one,six,three,three,one,seven,one,one
one,five,one,two,six,five,one,four,two,three,one,unknown,one,one
two,one,three,four,one,unknown,two,four,two,one,one,seven,one,seven
two,five,one,two,six,one,one,six,three,three,one,seven,one,one
two,five,one,one,six,unknown,one,five,three,three,two,two,three,one
two,five,five,five,nine,five,one,four,three,two,five,eight,three,four
two,five,one,one,six,unknown,one,four,one,three,five,seven,one,one
two,five,one,one,six,unknown,one,three,two,three,three,seven,one,one
two,one,four,three,one,four,two,two,zero,two,two,seven,one,eight
one,three,three,four,two,five,one,one,zero,two,one,seven,one,seven
two,one,four,four,one,four,two,three,one,one,one,seven,one,six
two,five,two,three,six,five,one,four,zero,three,one,five,one,eight
two,one,four,five,one,five,two,four,two,one,one,seven,one,six
two,five,two,three,five,five,one,two,zero,two,three,seven,one,two
one,two,two,three,six,five,one,two,zero,two,three,seven,one,one
one,two,three,six,one,unknown,two,three,one,two,three,eight,one,seven
two,five,three,one,three,two,one,seven,zero,two,one,five,two,eight
two,one,two,three,five,five,three,two,zero,two,one,seven,one,two
one,one,three,two,three,five,three,two,zero,two,one,unknown,one,two
one,five,two,three,three,unknown,one,three,one,three,one,seven,one,two
two,one,three,one,five,unknown,three,eight,six,two,one,five,two,two
two,five,two,three,three,two,one,four,zero,three,unknown,five,one,three
one,five,two,two,three,two,one,four,zero,one,one,five,one,three
two,five,one,two,six,five,one,four,one,three,one,five,one,one
two,five,one,two,six,five,one,four,one,three,one,seven,one,one
two,one,two,four,two,two,two,three,one,two,three,seven,one,two
two,five,one,two,six,unknown,one,four,two,three,one,seven,one,one
two,one,three,four,five,unknown,three,four,two,one,one,seven,one,seven
two,two,four,unknown,six,unknown,two,four,two,two,one,seven,one,two
two,five,two,two,six,unknown,one,four,zero,three,one,seven,one,six
two,one,two,three,four,unknown,two,two,zero,two,one,seven,one,six
two,five,two,four,one,five,one,five,zero,two,one,seven,one,one
two,one,seven,six,eight,four,three,two,zero,one,one,seven,one,six
two,three,four,four,five,five,one,two,one,two,two,seven,one,five
two,one,three,four,five,five,three,four,two,two,one,seven,one,four
two,one,four,four,five,five,three,two,zero,one,one,seven,one,nine
two,one,three,four,five,unknown,three,four,zero,one,one,seven,one,five
two,two,two,four,four,five,one,two,zero,two,three,eight,one,five
two,five,two,four,six,unknown,one,one,zero,two,one,seven,one,one
two,five,two,five,six,unknown,one,one,zero,two,five,seven,one,two
one,one,three,five,one,four,two,two,zero,one,one,seven,one,eight
two,three,four,three,one,five,one,one,zero,one,one,seven,one,eight
one,two,two,three,one,five,one,three,one,two,three,seven,one,three
two,five,three,three,one,five,one,one,zero,two,three,three,one,two
one,five,two,four,six,five,one,seven,one,three,one,two,one,three
one,five,two,five,one,five,one,one,zero,two,three,three,one,six
one,five,two,three,three,five,one,three,zero,three,one,seven,one,seven
two,one,seven,four,one,unknown,three,two,zero,one,one,seven,one,six
two,one,five,four,four,unknown,two,two,zero,one,one,seven,one,nine
one,one,three,five,one,one,two,four,two,one,one,seven,one,nine
two,one,four,three,five,five,three,six,four,one,one,seven,one,nine
two,five,two,four,six,two,one,five,zero,unknown,one,seven,one,one
two,one,two,three,five,three,three,four,two,two,one,seven,one,five
one,one,five,five,one,five,two,two,zero,one,one,seven,one,eight
two,five,three,six,one,unknown,one,one,zero,three,one,seven,one,four
two,one,four,four,five,five,three,four,one,two,one,seven,one,four
one,one,three,three,two,unknown,two,two,zero,one,one,seven,one,seven
two,one,five,four,five,five,three,four,zero,one,one,seven,one,seven
one,one,three,four,one,three,two,two,zero,one,one,seven,one,eight
one,three,three,three,three,five,one,three,one,one,one,seven,one,four
two,five,three,four,two,five,one,one,zero,two,unknown,seven,one,four
one,five,three,three,one,one,one,one,zero,two,three,seven,one,five
two,one,six,three,five,unknown,three,two,zero,one,one,seven,one,four
two,five,three,four,nine,unknown,one,one,zero,two,three,seven,one,three
one,five,two,three,four,one,one,five,two,three,one,seven,one,one
two,five,two,four,two,five,one,four,zero,two,one,seven,one,four
one,two,six,four,one,two,one,three,one,one,one,seven,one,seven
one,one,seven,five,one,five,three,two,zero,one,one,two,three,nine
one,five,two,four,three,five,one,four,zero,one,two,five,two,four
one,two,two,four,two,four,one,five,one,three,one,five,two,three
two,one,seven,five,five,unknown,three,two,zero,one,one,seven,one,eight
one,five,two,five,six,five,one,three,zero,two,three,seven,three,one
two,one,five,three,five,five,three,two,zero,one,one,seven,one,seven
two,one,five,five,one,five,two,two,zero,one,one,five,two,seven
two,one,five,four,one,two,two,three,zero,one,one,seven,one,eight
one,five,two,two,six,five,one,three,one,three,one,six,one,seven
one,two,two,three,one,three,three,five,zero,two,two,two,three,five
two,five,one,two,six,five,one,four,two,three,one,seven,one,one
two,one,four,four,five,five,two,four,two,one,one,seven,one,eight
one,five,two,four,two,five,one,two,zero,one,two,five,one,two
one,five,two,four,six,five,one,two,zero,three,one,seven,one,eight
one,five,two,three,six,five,one,four,one,three,one,two,one,seven
one,five,one,two,six,four,one,four,two,three,one,five,one,one
two,five,one,two,six,five,one,four,two,three,one,seven,one,one
one,one,three,five,one,five,two,two,zero,two,three,five,one,eight
two,one,four,six,two,three,two,two,zero,one,two,seven,one,nine
two,five,two,three,two,five,one,seven,zero,three,unknown,five,two,six
two,five,two,four,one,two,one,two,zero,two,one,seven,one,six
one,five,four,three,one,three,one,one,zero,two,three,seven,one,eight
one,five,two,five,one,five,one,two,zero,two,three,seven,one,three
two,two,two,four,four,five,one,two,zero,two,three,two,one,two
two,five,two,four,two,five,one,three,one,three,three,seven,one,four
one,one,seven,four,eight,five,two,two,zero,one,one,seven,one,eight
one,one,four,four,three,five,three,three,one,one,one,seven,one,seven
one,five,one,two,six,two,one,five,three,three,two,five,two,one
one,five,three,four,three,five,one,one,zero,two,two,seven,one,four
two,five,two,four,four,five,one,four,zero,three,one,seven,one,eight
two,one,five,three,one,five,two,three,zero,one,one,seven,one,eight
one,three,three,five,two,five,one,one,zero,two,five,seven,one,seven
one,five,two,four,four,five,one,four,one,three,one,seven,one,one
one,one,three,five,seven,unknown,two,four,one,two,one,two,one,eight
two,one,three,five,two,five,two,two,zero,one,one,seven,one,seven
one,five,two,three,six,five,one,unknown,zero,three,one,six,one,one
one,one,five,three,nine,five,two,four,two,two,two,one,one,one
two,one,three,five,one,unknown,two,four,two,one,one,seven,one,eight
one,five,two,four,nine,five,one,three,zero,three,one,two,one,six
two,one,three,four,one,five,two,four,two,one,one,seven,one,nine
two,five,two,three,two,five,one,two,zero,one,one,seven,one,two
one,five,two,four,three,three,one,four,one,three,one,seven,one,two
one,five,two,four,four,five,one,three,two,two,three,seven,one,one
one,five,two,two,two,five,one,four,one,two,one,seven,one,one
one,one,three,four,two,five,two,two,zero,one,one,seven,one,eight
one,five,one,two,six,five,one,three,one,three,one,five,two,one
two,one,four,four,one,unknown,two,two,zero,one,one,seven,one,six
one,one,four,four,three,five,one,one,zero,two,three,seven,unknown,two
one,five,two,four,six,five,one,three,zero,two,three,seven,one,one
one,five,one,two,six,five,one,three,one,three,one,seven,one,one
two,one,five,six,one,two,two,four,zero,one,one,seven,one,eight
one,five,one,two,three,unknown,one,three,seven,three,one,seven,one,two
one,five,one,two,six,five,one,three,one,three,two,seven,one,one
one,five,one,two,six,five,one,five,two,three,one,seven,one,one
one,five,two,two,three,five,one,four,one,three,one,seven,one,one
two,five,one,two,six,five,one,one,two,three,one,seven,one,one
one,five,one,two,six,five,one,three,two,three,one,seven,one,one
two,five,one,two,six,unknown,one,three,one,three,one,five,one,one
two,five,one,two,six,unknown,one,four,one,three,one,seven,one,one
one,five,two,four,three,one,one,one,zero,two,two,seven,one,six
one,five,one,two,two,five,one,five,three,three,one,seven,one,eight
one,one,three,five,one,three,two,two,zero,two,two,seven,one,nine
one,five,two,two,six,five,one,five,two,three,five,unknown,three,nine
one,five,two,two,six,five,one,four,one,three,five,seven,unknown,nine
one,five,two,two,three,five,one,six,three,three,one,seven,one,nine
one,two,two,three,three,four,one,two,zero,three,one,seven,one,nine
one,five,two,two,six,one,one,two,zero,three,one,three,one,eight
two,five,two,two,six,four,one,five,one,three,one,two,one,six
one,five,one,two,six,four,one,five,two,three,one,four,one,one
one,five,one,two,six,two,one,four,two,three,one,seven,three,one
one,five,one,two,four,five,one,four,two,three,one,two,one,nine
two,five,one,two,six,four,one,three,one,three,one,two,three,one
one,five,one,two,six,five,one,five,zero,three,one,six,one,one
two,five,one,two,nine,five,one,four,two,three,one,two,one,nine
one,five,two,four,three,five,one,five,zero,three,one,one,two,seven
two,two,two,five,unknown,unknown,one,unknown,zero,two,one,eight,one,five
two,one,two,three,one,five,two,two,zero,two,unknown,six,one,three
one,one,two,four,one,five,two,two,zero,two,three,seven,one,three
two,five,five,four,one,five,one,unknown,zero,two,four,seven,one,three
one,one,four,four,three,five,three,three,one,one,one,seven,one,eight
one,one,four,four,one,five,two,six,one,one,one,seven,one,four
one,five,two,three,six,five,one,four,zero,one,one,three,one,eight
one,one,five,five,one,unknown,two,two,zero,one,two,seven,one,nine
one,one,four,three,three,five,two,five,three,two,one,three,one,six
two,five,two,two,nine,five,one,two,zero,three,one,seven,one,one
one,one,four,six,one,four,two,three,zero,one,one,seven,one,nine
two,one,six,three,five,five,three,two,zero,one,one,seven,one,five
two,five,one,two,six,five,one,four,two,three,one,two,three,one
two,three,four,three,four,five,one,one,zero,two,two,seven,one,five
two,five,two,five,six,two,one,one,zero,two,three,three,one,eight
two,five,two,four,two,five,one,three,zero,three,one,seven,one,eight
two,one,five,five,five,five,three,four,zero,one,one,seven,one,eight
two,one,three,two,one,five,two,three,zero,two,four,five,one,three
one,five,three,three,one,three,one,two,zero,two,three,seven,one,two
one,five,two,four,nine,three,one,two,zero,two,three,five,one,two
one,five,two,five,one,two,one,one,zero,two,three,seven,one,four
two,five,three,five,one,five,one,one,zero,three,unknown,seven,one,seven
two,five,three,four,four,five,one,two,one,two,one,seven,one,five
two,five,two,two,six,five,one,five,two,three,one,three,one,one
two,two,two,four,one,five,two,two,zero,two,three,seven,one,eight
two,one,two,four,two,five,two,two,zero,two,three,seven,one,six
one,five,two,four,two,five,one,three,zero,three,one,seven,one,four
one,two,three,four,one,five,one,three,three,two,one,seven,one,four
two,five,two,three,two,five,one,six,three,three,one,five,one,three
one,five,two,four,six,unknown,one,five,zero,three,one,two,three,five
one,one,two,three,two,five,two,two,zero,one,one,eight,one,six
two,five,two,three,six,five,one,six,two,three,two,seven,one,one
two,five,two,four,six,five,one,three,zero,three,one,seven,one,one
one,five,two,four,nine,five,one,three,one,one,one,six,one,seven
one,five,two,four,six,five,one,three,zero,three,one,two,one,six
one,five,three,five,one,five,one,three,zero,three,one,seven,one,four
one,five,two,four,six,five,one,three,zero,two,two,eight,one,two
one,five,two,three,two,one,one,two,zero,two,three,three,two,three
two,one,four,three,one,five,two,four,zero,one,one,seven,one,six
one,five,three,four,three,five,one,one,zero,two,two,seven,one,five
one,five,two,four,six,five,one,five,three,three,one,two,three,seven
two,five,one,two,two,five,one,four,one,three,four,seven,one,six
two,five,two,three,two,five,one,three,zero,three,one,seven,one,one
one,five,three,five,six,five,one,two,zero,two,three,seven,one,three
one,five,two,five,one,unknown,one,one,zero,three,one,seven,one,one
one,five,two,four,one,five,one,five,two,three,one,seven,one,three
one,five,three,three,three,four,one,three,zero,two,one,three,one,two
two,two,three,five,one,one,one,two,zero,two,one,seven,one,seven
two,three,four,four,two,five,one,three,two,one,one,seven,one,four
two,one,three,four,five,five,three,two,zero,one,five,seven,one,seven
two,one,three,four,one,four,two,three,one,two,three,seven,one,eight
one,one,four,three,one,four,two,two,one,two,two,seven,one,eight
two,four,seven,four,eight,five,one,one,zero,one,one,seven,one,three
one,one,four,four,two,five,two,four,two,unknown,unknown,seven,one,six
two,one,three,four,four,four,two,two,zero,one,one,seven,one,eight
one,five,three,four,unknown,five,one,two,zero,two,three,seven,one,five
one,five,two,three,three,five,one,one,zero,two,three,seven,one,four
two,one,four,five,four,five,two,three,one,one,one,seven,one,eight
two,five,two,four,five,five,one,six,zero,three,one,seven,two,one
two,five,two,four,three,four,one,one,zero,two,three,seven,one,one
one,five,two,three,three,five,one,six,three,two,unknown,five,one,eight
one,two,two,four,nine,three,three,four,zero,two,one,two,unknown,three
one,five,two,four,six,unknown,one,four,zero,three,one,seven,one,eight
two,one,three,four,four,five,two,three,one,one,one,seven,one,nine
two,five,two,four,three,unknown,one,three,zero,three,one,seven,one,two
two,five,two,four,six,unknown,one,five,one,three,one,seven,one,six
one,five,two,four,three,five,one,seven,four,three,one,five,two,eight
two,three,six,three,four,five,one,two,zero,two,two,seven,one,three
one,three,three,three,seven,one,one,one,zero,two,two,seven,one,five
two,one,three,three,five,five,three,five,three,one,one,seven,one,eight
one,five,two,three,six,five,one,five,zero,three,one,five,two,seven
two,five,two,three,six,unknown,one,eight,seven,one,one,five,two,one
one,five,three,three,three,five,one,three,one,two,one,three,one,three
two,four,seven,four,eight,unknown,one,one,zero,two,one,seven,one,two
two,one,three,five,one,one,two,two,zero,two,three,seven,one,seven
one,one,three,five,one,one,two,two,zero,two,three,seven,one,six
one,five,two,four,six,five,one,four,one,three,one,seven,one,four
one,five,two,four,six,five,one,five,one,three,one,five,two,six
one,five,two,three,one,four,one,four,one,one,one,two,one,four
one,five,two,three,six,five,one,five,one,three,one,two,one,one
one,five,four,five,two,five,one,one,zero,two,unknown,five,one,six
one,two,three,four,two,five,one,unknown,zero,unknown,unknown,seven,one,six
one,five,two,two,six,three,one,four,three,three,unknown,seven,unknown,one
one,five,two,two,seven,five,one,three,zero,one,one,seven,one,seven
one,two,two,four,six,three,three,seven,zero,two,one,two,one,two
two,one,three,five,one,two,three,three,one,one,one,seven,one,nine
one,five,three,three,nine,unknown,one,unknown,zero,unknown,five,seven,unknown,one
one,five,two,four,two,five,one,four,zero,one,one,two,three,four
one,five,four,four,nine,five,one,one,zero,one,one,eight,one,four
one,five,two,four,one,three,one,seven,two,two,one,five,two,four
one,one,four,three,three,five,two,two,zero,two,one,seven,one,six
one,three,three,five,nine,two,one,three,zero,two,one,seven,one,seven
